certainty,action,keep_container,keep_blob,delete_container,delete_blob,content_length,content_md5,sha256_computed
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,benfranklin-dashboard/.DS_Store,triage,imported/benfranklin-dashboard/benfranklin-dashboard/.DS_Store,6148,b35dd7d2f2c928630998ea032398c25d,547f91c37cc76ab4465dc1367dbc63087d4c0975e536dcc749adb2500e98c9e8
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,benfranklin-dashboard/mosquitto/.DS_Store,triage,imported/benfranklin-dashboard/benfranklin-dashboard/mosquitto/.DS_Store,6148,5156a5412dc24610fdbe5a8dfd2cdbf4,cec129c8688d1be8fee5c48d66fb5eb9c6af377c40f9dd605a634aae2e0338c7
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/.DS_Store,make-money,marketing command center/.git/.DS_Store,6148,6710908f8d7c03c38aff5b890b890cba,d27c3b2bc7e31e681e49f99fdb10db144d02dfcebe2480c8211fb4a38e33af86
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,marketing command center/src/.DS_Store,make-money,src/.DS_Store,6148,bb983268295279d410c69cbdb04b4001,37ba373c5fd0f6f3e59514a9af9e986f7a9a168e51848d0d5b152b5c705b0e58
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,benfranklin-dashboard/CAMERA_STREAMS.md,triage,imported/benfranklin-dashboard/benfranklin-dashboard/CAMERA_STREAMS.md,2526,8628c6305ede9eb89efae62520da7626,bc9d17e0616ddc58c3c8bd2968584e9f96d5fbffa168da2eed7c28bde1e146de
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,claude-memory,merged-from-old/sessions/2026-01-22_secrets-file-found-reboot-secrets-icloud_ADMIN-2.md,claude-memory,merged-from-old/sessions/2026-01-22_secrets-file-found-reboot-secrets-icloud_ADMIN.md,2526,16af19361af256c3080a229afa605f5f,2c5664f8a65b57d05edc3eb612163b2a4fcee4f1fd3769da38edc1513668e348
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,benfranklin-dashboard/mosquitto/config/mosquitto.conf,triage,imported/benfranklin-dashboard/benfranklin-dashboard/mosquitto/config/mosquitto.conf,90,c05b8a4c7f739f4637dbae8763254163,7066587e466ead16f63af958be3bcaba1589df4df23bf835afdd3f04b780335b
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,desktop-companion/.DS_Store,make-money,marketing command center/desktop-companion/.DS_Store,8196,4685b4af51b9724cfa14d9527cb7e769,b1555a6217328bf7621d7fb77e70b57ee174bdbfae0236028f242ef44ea987aa
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,marketing command center/supabase/functions/.DS_Store,make-money,supabase/functions/.DS_Store,8196,66b253afb34b03877e06f8994b6d5057,b73427ef98a2d4a85c5b4e7b93b277fdf35d436f4735495572d2179af1bb003a
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,claude-skills,.git/hooks/post-update.sample,make-money,.git/hooks/post-update.sample,189,2b7ea5cee3c49ff53d41e00785eb974c,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,claude-skills,.git/hooks/post-update.sample,make-money,marketing command center/.git/hooks/post-update.sample,189,2b7ea5cee3c49ff53d41e00785eb974c,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,claude-skills,.git/hooks/prepare-commit-msg.sample,make-money,.git/hooks/prepare-commit-msg.sample,1492,2b5c047bdb474555e1787db32b2d2fc5,e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,claude-skills,.git/hooks/prepare-commit-msg.sample,make-money,marketing command center/.git/hooks/prepare-commit-msg.sample,1492,2b5c047bdb474555e1787db32b2d2fc5,e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/logs/refs/remotes/azure/main,make-money,marketing command center/.git/logs/refs/remotes/azure/main,156,95fc0c5ef9b05b845a21370b7215ce67,03260fa798299a30da942474b5617bbe0928f46418eb88bedfb8dec9b13e9b47
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,claude-skills,.git/refs/heads/main,claude-skills,.git/refs/remotes/azure/main,41,274e62eca7fb4703cbfed097fc3ed33b,6202bf616fd33b814b4beeed6ba3c3e8165c77c14164ae024647d6c21ecf287f
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/heads/main,make-money,.git/refs/remotes/azure/main,41,511eeab363894c61bc7acff1f292255d,58d1d9a7ea8222e1e443ad042da6143a44e50704df9feee72b12499b82b6abea
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/heads/main,make-money,marketing command center/.git/refs/heads/main,41,511eeab363894c61bc7acff1f292255d,58d1d9a7ea8222e1e443ad042da6143a44e50704df9feee72b12499b82b6abea
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/heads/main,make-money,marketing command center/.git/refs/remotes/azure/main,41,511eeab363894c61bc7acff1f292255d,58d1d9a7ea8222e1e443ad042da6143a44e50704df9feee72b12499b82b6abea
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/26-add-15-20-new-colored-themes-and-integrate-into-theme-dropdown,make-money,marketing command center/.git/refs/remotes/origin/26-add-15-20-new-colored-themes-and-integrate-into-theme-dropdown,41,55761e4ddef03ffa7cca160a22afbeaa,215a6fabcd5dbe41dcbbd3a3550bce7fb47a4a6a6d402ba37585e7de05b76adc
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/NEXIE,make-money,marketing command center/.git/refs/remotes/origin/NEXIE,41,afcc669bbc29f01f2d9b70b8cdbf2995,4a2cc1236c9e8646deee77f69a72ebfca35e6d38c0fb96c9c6a295459fd477c4
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/acmltd105-patch-1,make-money,marketing command center/.git/refs/remotes/origin/acmltd105-patch-1,41,f157cb02fe1d0f86194c2121453e1fba,0f9e1088b68b8cef93bed880870c082bf644fc12172d90dc9e388c332581ef22
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/add-skin-selector-for-color-theme,make-money,marketing command center/.git/refs/remotes/origin/codex/add-skin-selector-for-color-theme,41,848f08776f781e73497a281eb1eb7cd4,dc4bd8aeddc3261ea7f4525df51b1ce95d5a5047301ee75feddee45f3d37b21a
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/deploy-frontend-to-vercel,make-money,marketing command center/.git/refs/remotes/origin/codex/deploy-frontend-to-vercel,41,c48812195920b26ac65e03dca59eeddc,f21f97e144560672e0e0b9be82429e6ccf251b7a540b92dcddbf0927ea3fd518
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/deploy-frontend-to-vercel-w2gixp,make-money,marketing command center/.git/refs/remotes/origin/codex/deploy-frontend-to-vercel-w2gixp,41,57c300447f92f686752a74676e73154f,52e01872a287b77102fea649e0d815d282caecdbab45cef2828d143798b8288b
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/finalize-monorepo-application-for-launch,make-money,marketing command center/.git/refs/remotes/origin/codex/finalize-monorepo-application-for-launch,41,ee92e01e17e2fc6bc48aee73a9ad4960,57e429e61316978e88dd1c3ca59a4d3333bcf49839c1f11a48d141080234fae5
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/find-email-templates-for-dental-and-precare-coverage-bku57i,make-money,marketing command center/.git/refs/remotes/origin/codex/find-email-templates-for-dental-and-precare-coverage-bku57i,41,50d7244f088bffcb19890d116250091c,5c0a642f14c2a1b41f93c96762ba82b7c58694135a400f2e4c263273a91b059a
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/find-email-templates-for-dental-and-precare-coverage-cxc1oz,make-money,marketing command center/.git/refs/remotes/origin/codex/find-email-templates-for-dental-and-precare-coverage-cxc1oz,41,3032af07d696ec0a83baafa8abf06630,9552b87ae30a10238eb2459874b29ba75453f19631fc58cf04a6bdd6b2c3fb31
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/find-email-templates-for-dental-and-precare-coverage-dftp26,make-money,marketing command center/.git/refs/remotes/origin/codex/find-email-templates-for-dental-and-precare-coverage-dftp26,41,ff41716a2cfdb5e5bc6ae4d72a8feea4,baeb84e6664c2ba019f60a287765bac9d32aad6f4d6c12f27c70d659bf0f5939
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/integrate-revenue-and-expense-tabs,make-money,marketing command center/.git/refs/remotes/origin/codex/integrate-revenue-and-expense-tabs,41,b79524610b569b8b10b784f92014c507,cdc774c3bbf754eb3a97829146cb513d42081c796ddc8c9b6b284829176dbab2
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/integrate-revenue-and-expense-tabs-ugnmqm,make-money,marketing command center/.git/refs/remotes/origin/codex/integrate-revenue-and-expense-tabs-ugnmqm,41,fb5de388b8c535457c08a6d1cb8890d5,7be74f3430d5d63ebd4a0f596c994b1f0e3c0817f4095ba25e159425f709b355
PROVEN_EXACT_COMPUTED,DELETE_AFTER_APPROVAL,make-money,.git/refs/remotes/origin/codex/set-up-dashboard-for-project-overview,make-money,marketing command center/.git/refs/remotes/origin/codex/set-up-dashboard-for-project-overview,41,a47f0520f842e5f1c52eb3f1cf95f0d0,afaf5b3e95215c63b7c51b213a596dfceecd6f3c554b095fbf249b2e55b11161
