indent,path,type,files,subfolders,total_bytes,total_compressed,ratio_pct
0,/,root,894216,3,313871289129,201385451513,64.2
1,PROD03 pt 1 of 3,zip-root,313168,4,140666702276,85651722016,60.9
2,PROD03 pt 1 of 3/DATA,folder,5,0,91620411,6388410,7.0
2,PROD03 pt 1 of 3/IMAGES,folder,250001,26,96525905964,63033889509,65.3
3,PROD03 pt 1 of 3/IMAGES/0001,folder,10000,0,4637715758,2752645818,59.4
3,PROD03 pt 1 of 3/IMAGES/0002,folder,10000,0,4417173316,2498800340,56.6
3,PROD03 pt 1 of 3/IMAGES/0003,folder,10000,0,4041571877,2736424430,67.7
3,PROD03 pt 1 of 3/IMAGES/0004,folder,10000,0,3625705227,2472247322,68.2
3,PROD03 pt 1 of 3/IMAGES/0005,folder,10000,0,3140724485,2099180458,66.8
3,PROD03 pt 1 of 3/IMAGES/0006,folder,10000,0,6231540123,3718762600,59.7
3,PROD03 pt 1 of 3/IMAGES/0007,folder,10000,0,7791600180,4819582944,61.9
3,PROD03 pt 1 of 3/IMAGES/0008,folder,10000,0,6093948697,4074940379,66.9
3,PROD03 pt 1 of 3/IMAGES/0009,folder,10000,0,4237377437,2826324462,66.7
3,PROD03 pt 1 of 3/IMAGES/0010,folder,10000,0,4527381985,2659068018,58.7
3,PROD03 pt 1 of 3/IMAGES/0011,folder,10000,0,3848411172,2230413517,58.0
3,PROD03 pt 1 of 3/IMAGES/0012,folder,10000,0,3751779799,2568866989,68.5
3,PROD03 pt 1 of 3/IMAGES/0013,folder,10000,0,3631827785,2645749329,72.8
3,PROD03 pt 1 of 3/IMAGES/0014,folder,10000,0,3362114494,2389337784,71.1
3,PROD03 pt 1 of 3/IMAGES/0015,folder,10000,0,4703187284,3388911970,72.1
3,PROD03 pt 1 of 3/IMAGES/0016,folder,10000,0,3978282036,2904947252,73.0
3,PROD03 pt 1 of 3/IMAGES/0017,folder,10000,0,2256167077,1467328772,65.0
3,PROD03 pt 1 of 3/IMAGES/0018,folder,10000,0,2286024225,1471728351,64.4
3,PROD03 pt 1 of 3/IMAGES/0019,folder,10000,0,2586437156,1670398667,64.6
