ar_id,doc_type,suggested_title,confidence,rule_id
0000000002,Document,FBI Evidence Cover Sheet 2010-05-08,0.90,FBI_COVER
0000000293,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000295,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000303,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000305,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000308,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000310,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000328,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000330,Document,Document — Verification Document Account Holder Dawn Sobieski C3117631 Billing I,0.50,READABLE_FALLBACK
0000000341,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000346,Notice,Member Portal & Document Access Guide,0.88,MEMBER_PORTAL
0000000360,Document,"Document — Veronica, Your permanent ID cards for your new EMA Wellness Now Gold",0.50,READABLE_FALLBACK
0000000366,PDF (image-only/unreadable),Unreadable Image-Only PDF (garbled text),0.80,IMAGE_ONLY_GARBAGE
0000000397,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000399,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000414,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000416,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000448,Notice,Member Portal & Document Access Guide,0.88,MEMBER_PORTAL
0000000489,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000493,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000563,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000566,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000696,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000698,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000721,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000723,Document,Document — SECTION,0.50,READABLE_FALLBACK
0000000770,PDF (image-only/unreadable),Unreadable Image-Only PDF (garbled text),0.80,IMAGE_ONLY_GARBAGE
0000000771,PDF (image-only/unreadable),Unreadable Image-Only PDF (garbled text),0.80,IMAGE_ONLY_GARBAGE
0000000772,Document,Document — DEC 30 2019 DEC 5 2019 NOV 6 2019 OCT 7 2019 MAY 29 2018,0.50,READABLE_FALLBACK
0000000773,PDF (image-only/unreadable),Unreadable Image-Only PDF (garbled text),0.80,IMAGE_ONLY_GARBAGE
0000000779,Document,Document — Plan Information Emergency Management Alliance EMA-Preventive Copay M,0.50,READABLE_FALLBACK
0000000856,PDF (image-only/unreadable),Unreadable Image-Only PDF (garbled text),0.80,IMAGE_ONLY_GARBAGE
0000000870,Interview,FBI FD-302 Interview Report (entry 09/23/2022),0.97,FBI_FD302
0000000873,Document,"Document — r'Fv 150-0.• If $A. \2."",~~.rrJ 'vcle~ ~v, ~5 (Q. .9__ ,'.e~~ fie.'''",0.50,READABLE_FALLBACK
0000000880,Form,Enrollment Verification / Customer Information 2021-12-01,0.90,ENROLLMENT_VERIF
0000000883,Document,Document — Consumer Data Partners LP Plan ID #: HS3567 Participant Name: Keeley,0.50,READABLE_FALLBACK
