id,folder_relative,filename,ext,size_bytes,size_hr,mtime_iso,btime_iso,is_archive,specialty_bucket,compression_bucket,folder,path
1,.,temp,(none),0,0.0 B,2025-10-14T11:56:38Z,2025-10-14T11:55:56Z,0,,unknown,/Volumes/blacksand,/Volumes/blacksand/temp
2,.,._McAfee Removable Media Protection.app,.app,0,0.0 B,2025-12-04T02:07:56Z,2025-12-04T02:07:56Z,0,,unknown,/Volumes/blacksand,/Volumes/blacksand/._McAfee Removable Media Protection.app
3,.,MfeEERM.exe,.exe,5497624,5.2 MB,2024-04-04T09:50:30Z,2025-09-25T18:59:17Z,0,executables,already_compressed,/Volumes/blacksand,/Volumes/blacksand/MfeEERM.exe
4,.,mfecc32.dll,.dll,781888,763.6 KB,2024-04-04T08:57:08Z,2025-09-25T18:59:17Z,0,executables,already_compressed,/Volumes/blacksand,/Volumes/blacksand/mfecc32.dll
5,.,autorun.inf,.inf,134,134.0 B,2025-09-25T18:59:20Z,2025-09-25T18:59:18Z,0,,unknown,/Volumes/blacksand,/Volumes/blacksand/autorun.inf
6,.,cdisplay.dat,.dat,144,144.0 B,2025-09-25T18:59:20Z,2025-09-25T18:59:18Z,0,,unknown,/Volumes/blacksand,/Volumes/blacksand/cdisplay.dat
7,McAfee EERM,encrypted.dsk,.dsk,2147483648,2.0 GB,2026-02-08T03:48:36Z,2025-09-25T18:59:11Z,0,,unknown,/Volumes/blacksand/McAfee EERM,/Volumes/blacksand/McAfee EERM/encrypted.dsk
8,McAfee EERM,encrypted.dsk.1,.1,2147483648,2.0 GB,2025-09-25T18:59:14Z,2025-09-25T18:59:11Z,0,,unknown,/Volumes/blacksand/McAfee EERM,/Volumes/blacksand/McAfee EERM/encrypted.dsk.1
9,McAfee EERM,encrypted.dsk.2,.2,2147483648,2.0 GB,2025-09-25T18:59:14Z,2025-09-25T18:59:11Z,0,,unknown,/Volumes/blacksand/McAfee EERM,/Volumes/blacksand/McAfee EERM/encrypted.dsk.2
10,McAfee EERM,encrypted.dsk.3,.3,2147483648,2.0 GB,2025-09-25T18:59:14Z,2025-09-25T18:59:11Z,0,,unknown,/Volumes/blacksand/McAfee EERM,/Volumes/blacksand/McAfee EERM/encrypted.dsk.3
11,McAfee EERM,encrypted.dsk.4,.4,2147483648,2.0 GB,2025-10-15T09:24:06Z,2025-09-25T18:59:11Z,0,,unknown,/Volumes/blacksand/McAfee EERM,/Volumes/blacksand/McAfee EERM/encrypted.dsk.4
12,McAfee EERM,encrypted.dsk.5,.5,2147483648,2.0 GB,2025-09-25T18:59:14Z,2025-09-25T18:59:11Z,0,,unknown,/Volumes/blacksand/McAfee EERM,/Volumes/blacksand/McAfee EERM/encrypted.dsk.5
13,McAfee EERM,encrypted.dsk.6,.6,2147483648,2.0 GB,2025-09-25T18:59:14Z,2025-09-25T18:59:11Z,0,,unknown,/Volumes/blacksand/McAfee EERM,/Volumes/blacksand/McAfee EERM/encrypted.dsk.6
14,McAfee EERM,encrypted.dsk.7,.7,2147483648,2.0 GB,2025-09-25T18:59:14Z,2025-09-25T18:59:11Z,0,,unknown,/Volumes/blacksand/McAfee EERM,/Volumes/blacksand/McAfee EERM/encrypted.dsk.7
15,McAfee EERM,encrypted.dsk.8,.8,2147483648,2.0 GB,2025-09-25T18:59:14Z,2025-09-25T18:59:11Z,0,,unknown,/Volumes/blacksand/McAfee EERM,/Volumes/blacksand/McAfee EERM/encrypted.dsk.8
